Centro Nacional de Control de Energia
Precios Marginales Locales del MDA 
Sistema Interconectado Baja California
Reporte diario
Fecha: 20/Junio/2017
Archivo descargado desde el Sistema de Informacion del Mercado (Area Publica) creado el 19/Junio/2017 12:03:36 hrs.
Nota: Los acentos de este reporte se omiten intencionalmente por sistema
Hora,Clave del nodo,Precio marginal local ($/MWh),Componente de energia ($/MWh),Componente de perdidas ($/MWh),Componente de congestion ($/MWh)
7,07EDA-115,458.25,453.53,4.72,0
8,07EDA-115,503.12,498.87,4.25,0
9,07EDA-115,510.81,506.72,4.09,0
10,07EDA-115,726.48,720.49,5.99,0
11,07EDA-115,744.07,737.81,6.25,0
12,07EDA-115,1034.13,1022.33,11.8,0
13,07EDA-115,830.32,822.52,7.8,0
14,07EDA-115,837.92,829.71,8.21,0
15,07EDA-115,954.05,943.75,10.3,0
16,07EDA-115,742.9,738.02,4.88,0
17,07EDA-115,742.64,738.04,4.6,0
18,07EDA-115,878.69,870.45,8.24,0
19,07EDA-115,919.1,910.19,8.9,0
20,07EDA-115,833.81,826.73,7.08,0
21,07EDA-115,840.21,831.52,8.69,0
22,07EDA-115,839.53,831.18,8.35,0
23,07EDA-115,866.63,858.67,7.96,0
24,07EDA-115,803.78,800.72,3.06,0
1,07END-69,734.69,704.27,30.42,0
2,07END-69,737.33,711.49,25.84,0
3,07END-69,694.16,671.98,22.18,0
4,07END-69,498.66,483.57,15.09,0
5,07END-69,485.85,472.41,13.45,0
6,07END-69,465.54,452.18,13.36,0
7,07END-69,466.38,453.53,12.85,0
8,07END-69,515.9,498.87,17.04,0
9,07END-69,526.01,506.72,19.29,0
10,07END-69,751.57,720.49,31.08,0
11,07END-69,774.59,737.81,36.78,0
12,07END-69,1078.55,1022.33,56.22,0
13,07END-69,867.42,822.52,44.9,0
14,07END-69,880.26,829.71,50.55,0
15,07END-69,999.86,943.75,56.11,0
16,07END-69,782.01,738.02,43.99,0
17,07END-69,781.95,738.04,43.91,0
18,07END-69,919.81,870.45,49.36,0
19,07END-69,960.67,910.19,50.48,0
20,07END-69,871.85,826.73,45.11,0
21,07END-69,877.44,831.52,45.92,0
22,07END-69,877.5,831.18,46.33,0
23,07END-69,906.55,858.67,47.88,0
24,07END-69,842.39,800.72,41.66,0
1,07ENT-115,775.44,704.27,71.17,0
2,07ENT-115,782.84,711.49,71.35,0
